Name,Width,Height,Depth,Artist,Country,Price,Category
Pattern 10,61,61,2.5,Howard Spector,United States,$930,Digitals
7.11.38,100,100,1,Elis RIMEL,,"$1,140",Digitals
Lucid,45.7,61,7.6,Arnab Roy,India,"$1,009",Digitals
The Lock,58.4,83.8,0.3,Paul Manwaring,United Kingdom,$267,Digitals
JTA0001-011,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
Emergence Complexity - Limited Edition of 1,55.9,68.6,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Lilac Shades - Van Gogh - Limited Edition of 5,61,61,0.3,Ekow Brew,Ghana,$940,Digitals
934 - Limited Edition of 1,69.8,80,0.3,José Luis Guerrero,Mexico,"$1,360",Digitals
Support Creation - Limited Edition of 1,33,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Jungle Melodrama,61,80,0.1,Petra Brnardic,Croatia,"$3,780",Digitals
Intergalactic Orgasm,45,60,0.1,Petra Brnardic,Croatia,"$3,770",Digitals
Biological Activity Existing,50.8,57.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
sitting on top of the world,40,53.3,0.2,Eliza Tsitsimeaua-Badoiu,Romania,$430,Digitals
Anarkali Bazaar,71.1,53.3,0.1,Amna Tariq,Pakistan,$590,Digitals
Djevojka od Soli,20.3,25.4,0.3,Mia Glumac,,$926,Digitals
Face upon V,21,29.4,0.1,Christian Fromhein,Germany,$580,Digitals
FUSION,60,80,8,Sara Lisa,France,"$2,250",Digitals
"Polka dots abstract painting, Abstract colorful art, Kusama",80,80,0.3,Leah Larisa Bunshaft DIZLARKA,Israel,$540,Digitals
Exposed,61,91.4,1.8,Rene Smoller,,"$1,970",Digitals
Pink Rocky 10 x 15 Giclee Print,25.4,38.1,0.2,Dara M Wilson,United States,$268,Digitals
NATUREZA 03,42,29.7,0.1,Eder Bispo,Brazil,$370,Digitals
Shades of Azul 294,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Not Typical: Still 13,50.8,50.8,0.1,Aimee Timpson,Australia,$190,Digitals
Family,76.2,101.6,0.3,Andy Andy,United Kingdom,$340,Digitals
under the rain,50,70,1,Mohammad Nagahi,Turkey,$350,Digitals
Maybe life,0.2,0.2,0.3,Awwab Ahmed,Yemen,"$8,910",Digitals
24.10.2015 C,100,100,1,Elis RIMEL,,"$1,140",Digitals
"VIRGO ""ZODIAC"", Women Goddess Of Nature",40.6,50.8,5.1,AUGUSTO SANCHEZ,United States,$465,Digitals
River Into The Heaven,63.5,45.7,0.5,HOAI NGUYEN,,"$1,250",Digitals
Indian bridal fashion,45.7,68.6,0.3,Devine Arts,India,"$5,066",Digitals
Magellan's Voyage,62,39.9,0.3,Klaus Rudolph,Germany,$740,Digitals
INRI,22.3,39,0.1,Nikolay Devnenski,Germany,$190,Digitals
La Bocca con la Pipa,90,90.5,0.1,Mario Ubaldino,Italy,"$1,280",Digitals
Van Gogh Nine - Limited Edition of 1,100.1,106.4,0.3,Massimo Magee,United Kingdom,"$1,140",Digitals
Blush Moon - Limited Edition of 9,91.4,63.5,0.3,Saqib Akhtar,Pakistan,$545,Digitals
The shape,47,35,0.1,Viktor Samandov,,$570,Digitals
Novus Ordo,50.8,76.2,0.3,Jason Yun,United States,$899,Digitals
Rys I,21,29.4,0.1,Christian Fromhein,Germany,$271,Digitals
Intense Resistance,25.4,25.4,1.8,David Mew,United States,$495,Digitals
LIGHTNESS,60,80,8,Sara Lisa,France,"$2,250",Digitals
At the head,53.3,53.3,3.8,Anna Gaikovich,,$329,Digitals
Textile cat eye,120,120,1,leon grizon,Slovenia,$333,Digitals
Hello Newyorkers! Newyork Art,50,70,0.1,Didem Kutlu,Turkey,$200,Digitals
"Father, who made the wind blow?",118,179,0.3,BONGUK LEE,South Korea,"$4,950",Digitals
Abstract Circle Number Three - Fine Digital Art,91.4,91.4,0.3,Paul Manwaring,United Kingdom,$220,Digitals
Boop - dig it all,41,55,0.1,Well Well,France,$440,Digitals
THE POWER OF  WORDS,61.4,85.7,0.1,Vanda Parker,Australia,$450,Digitals
unique discovery,100,100,1,Norman ritchie,Chile,"$1,360",Digitals
Scenery,7.6,7.6,2.5,Ziyi Xno,,"$36,000",Digitals
interconnection of creatures,7.6,7.6,2.5,Awwab Ahmed,Yemen,$580,Digitals
Tree Of Life,101.6,76.2,0,Andy Andy,United Kingdom,$180,Digitals
ORPHIC #2 - Abstract Digital,83.8,58.4,0.3,Paul Manwaring,United Kingdom,$279,Digitals
Filly N.5,101,135,0.1,Erkan Cerit,Turkey,$700,Digitals
She,50,65,2,The vanilla croissantVip Person,Bulgaria,"$1,090",Digitals
20.10.2015 HB,100,100,1,Elis RIMEL,,"$1,140",Digitals
Palestine - Essence Collection,90,109.9,0.1,Mario Ubaldino,Italy,$710,Digitals
"The Other Avatars NFT, Skull of a Skeleton, Vincent #2180",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
Sophisticated Behaviors - Limited Edition of 1,43.2,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Sagrado Feminino - HAZLEY AIRAM serie,90,120,0.1,Loredana Cortese,United Kingdom,"$2,346",Digitals
Mother Earth,61,91.4,0.3,Aatmica Ojha,United States,$555,Digitals
Lysergic Liz,35,50,1,Petra Brnardic,Croatia,"$3,370",Digitals
With the clouds,121.9,81.3,0.1,Mohammad Oweini,Lebanon,"$7,550",Digitals
With good energy you break its DNA,86.4,86.4,0.1,Mohammad Oweini,Lebanon,"$5,450",Digitals
Figa I,50,70,0.2,Jaume Serra Cantallops,Spain,$510,Digitals
Expressionist 09 — 2016,100,100,0.1,Tevfik Raja,,"$1,410",Digitals
LOST IDENTITY,60,80,0.5,Indra Kusumah,Indonesia,$940,Digitals
NATUREZA 01,42,29.7,0.1,Eder Bispo,Brazil,$450,Digitals
All Hail The Queen by KxMx Lane,2000,1600,0.1,KxMx Lane,,"$11,200",Digitals
Eros - IV,32.5,42.5,3.5,Marly Inigo,France,$170,Digitals
With the disappearing family-04,180,96,0.3,BONGUK LEE,South Korea,"$6,550",Digitals
Space X,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Soft Collection,114.3,76.2,0.3,Color out of Place,Canada,"$3,110",Digitals
Expressive portrait of a woman in blue and orange,65,90,0.6,Hella Maas,Netherlands,"$1,160",Digitals
Nabuko,60,80,0.1,Kévin Albert,Belgium,"$1,910",Digitals
Circle No.90,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
The storm inside,42,42,0.5,Feyza Soydan Yazici,Turkey,$900,Digitals
New York Nightscape,42,59,23,andra oprea,France,$210,Digitals
Other space,61,81,3,Bob Donker,Netherlands,$955,Digitals
24 - Limited Edition of 1,69.8,80,0.3,José Luis Guerrero,Mexico,"$1,360",Digitals
City of Tranquility,41.9,59.4,0.3,Mansi Lavanya,India,$430,Digitals
Grey and black,81.3,101.6,0.1,Mohammad Oweini,Lebanon,"$11,000",Digitals
Naranja,61,81.3,2.5,Kareena Roo,Mexico,$524,Digitals
Estatic,121,91,0.1,Damola Eniola,Nigeria,"$2,120",Digitals
Truth Statue - Blue (Foam-Backed Giclee Print),25.4,38.1,0.3,Dara M Wilson,United States,$265,Digitals
untitled 11,70,100,2,Rym Magdi,,$500,Digitals
Manifesto,100,50,1,Alina Firica,Romania,$660,Digitals
Wasted Silence,3810,3048,0.3,Vanessa Van,,"$1,650",Digitals
Entracte,35,42,3,Debora Barnaba,Italy,$760,Digitals
Eton Mess,30.5,30.5,0.3,Mandy Koorneef,United Kingdom,$220,Digitals
Tidal Splash,91.4,52.2,4.1,Andy Joynes,United Kingdom,"$5,600",Digitals
Statue - A Digital Artwork,40.3,18.1,8,Masud Rana Parvaz,,"$1,842",Digitals
The Proximal TEPEE!...................................,76.2,61,1.8,Bill Zielinski,United States,"$1,199",Digitals
Evanescense I,65,80,3,Jose Sunday,Norway,"$2,010",Digitals
20.10.2015 HA,100,100,1,Elis RIMEL,,"$1,140",Digitals
"""SkyView Over Hawaii"" by KxMx Lane",5080,6350,0.3,KxMx Lane,,$850,Digitals
Buddha meditation,243.8,152.4,0.3,Shivangi Goenka,India,$290,Digitals
Smooth Motion,76.2,50.8,0.3,Elite Art,Australia,"$1,400",Digitals
Vincent#2002 - Limited Edition of 1,38.6,38.6,0.3,Ernesto Navarro,Colombia,"$3,500",Digitals
Our World - Limited Edition of 10,91.4,91.4,0.3,Paul Manwaring,United Kingdom,$289,Digitals
Hecate,80,120,0.1,Petra Brnardic,Croatia,"$3,490",Digitals
1029antique art collection,121.9,152.4,2.5,Antique Art Collection,Denmark,"$17,000",Digitals
Twisted W,40,60,2,Gehani Bentharage,Ireland,$460,Digitals
09.10.2010,40,30,0,isa levy,United Kingdom,$160,Digitals
1. How to figure out viruses,86.4,86.4,0.1,Mohammad Oweini,Lebanon,"$4,270",Digitals
Green Beetle,100,100,0.5,Ellen Novara-da Lima,Netherlands,"$2,710",Digitals
Smoke and Fire,33,50.8,1.8,Eric Appelquist,,$165,Digitals
toben*,40.6,50.8,0.2,Luciano Guerra,United States,"$3,610",Digitals
ABSTRACT ART SKULL FRAMED #012,90,120,0.1,Diogo Areas Galeria,Brazil,"$1,810",Digitals
Night,15.2,15.2,0,Ziyi Xno,,"$3,470",Digitals
Qui veut la paix prépare la paix,70,104,0.1,Matthieu Ravet,France,$840,Digitals
Euphoria,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
She Character 02,11480.8,11430,254,Shedesignstudio Graphic design studio,,"$15,000",Digitals
Europe Grid 3,182.9,61,2.5,Howard Spector,United States,"$2,670",Digitals
Rachela,60,90,0.1,Tobias Ginski,,$990,Digitals
Off the Grid 2,50,50,1,Stephanie Derks,Netherlands,$710,Digitals
Hanapano hm4b / III,40,40,0.1,Tom Brümmendorf,Germany,$432,Digitals
La Mer II,63.5,39.9,0.3,Klaus Rudolph,Germany,$740,Digitals
Breakdown,58.7,39.9,0.3,Klaus Rudolph,Germany,$740,Digitals
JTA0001-012,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
VG (Vincent #667) - Limited Edition of 5,61,61,0.3,Donald Okudu,Nigeria,"$1,500",Digitals
VG (Vincent #1450) - Limited Edition of 5,61,61,0.3,Donald Okudu,Nigeria,"$1,500",Digitals
Boldness,243.8,167.6,0.3,Aatmica Ojha,United States,"$1,215",Digitals
Third Eye,53,80,1,Petra Brnardic,Croatia,"$3,370",Digitals
1034antique art collection,152.4,121.9,2.5,Antique Art Collection,Denmark,"$13,000",Digitals
1024antique art collection,152.4,121.9,2.5,Antique Art Collection,Denmark,"$13,000",Digitals
Fantasy Kingdom,80,105,0.1,José Luis Guerrero,Mexico,"$4,270",Digitals
Unconsciously,80,60,1,Jovana Braletić,Serbia,$260,Digitals
Rune 1 - (Hammer of Thor),254,254,5.1,Daniel Benavides,Colombia,"$1,210",Digitals
2.09.2010,30,25,0.1,isa levy,United Kingdom,$160,Digitals
Cubi,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
story of a past,100,100,1,Norman ritchie,Chile,"$1,510",Digitals
Black noise V,29.4,21,0.1,Christian Fromhein,Germany,$401,Digitals
LEAN ON ME*+,96.5,116.8,0.2,Luciano Guerra,United States,"$9,350",Digitals
Transparency,50,70,0.1,René van den Berg,Netherlands,$300,Digitals
Desert Bloom,91.4,61,0.3,Del Gonzales,,$545,Digitals
Chances of Life,63.5,63.5,1,Kin Karol Fetalver,Philippines,"$1,039",Digitals
Abstract Circle Number Eight,91.4,91.4,0.3,Paul Manwaring,United Kingdom,$220,Digitals
With the disappearing family,170,100,0.3,BONGUK LEE,South Korea,"$7,250",Digitals
Waterfall Mirror - Original Abstract,83.8,58.4,0.3,Paul Manwaring,United Kingdom,$180,Digitals
Starry Night,29.7,42,0.2,Hristo Yordanov,United Kingdom,$260,Digitals
birds that come to sing,50,50,0.5,Feyza Soydan Yazici,Turkey,$480,Digitals
BK White CRT,150,150,0.1,Leho De Sosa,France,"$1,211",Digitals
510,297,420,0.1,Tibor Hunka,Hungary,"$4,270",Digitals
KONG 11,18,27,0.2,Freegar Net,Mexico,$250,Digitals
The Forest,76.2,50.8,0.3,Elite Art,Australia,$890,Digitals
Love - Essence Collection,90,128.3,0.1,Mario Ubaldino,Italy,$920,Digitals
Special Class - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Cipher - Limited Edition of 1,41.9,43.4,0.3,Massimo Magee,United Kingdom,"$2,040",Digitals
Ms. Ayahuasca de Pompadour,82,106,1,Petra Brnardic,Croatia,"$3,780",Digitals
Dialogue With A Demon,29,40,1,Petra Brnardic,Croatia,"$3,080",Digitals
Procesing No.29,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Unconsciously,60,80,1,Jovana Braletić,Serbia,$160,Digitals
Mird01,60,80,0.1,Jeffery Yiwang,,$539,Digitals
Crypto Yeezy 04_SOS_2022_Me,43.2,43.2,0.3,ANDY H JUNg,South Korea,$269,Digitals
Abraham,75,100,0.1,PAUL DICKINSON,,"$3,800",Digitals
4005 - Zero 5 Zero Degrees,75,60,2,Jay Anton de Paris,United Kingdom,$540,Digitals
NIRWANA,60,80,0.5,Indra Kusumah,Indonesia,$920,Digitals
Sight,53.3,53.3,3.8,Anna Gaikovich,,$460,Digitals
A Beautiful Digital Artwork,40.3,18.1,8,Masud Rana Parvaz,,"$1,688",Digitals
Quadratix #1,103,103,4.2,Stephen Griffin,Australia,"$5,350",Digitals
Multi-colored Flowers,61,91.4,1.8,Rene Smoller,,"$1,800",Digitals
Fusiki are playing ball,7.5,5,2,Bohdana Zubchenko,Finland,$150,Digitals
D-Classified!,76.2,76.2,1.8,Bill Zielinski,United States,"$1,211",Digitals
360,420,297,0.1,Tibor Hunka,Hungary,$340,Digitals
Jellyfish Collection,120,120,0.5,Maksi Thompson,Netherlands,"$37,900",Digitals
KONG 7A,18,27,0.2,Freegar Net,Mexico,$250,Digitals
Miami Lovetime (Rolex Series),96.6,90,0.1,Mario Ubaldino,Italy,$940,Digitals
Study for Ancient Wall - Limited Edition of 25,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
The Manuscript,81.3,111.8,0.3,Aatmica Ojha,United States,$640,Digitals
1050antique art collection,121.9,152.4,2.5,Antique Art Collection,Denmark,"$13,000",Digitals
TOMORROW WILL BE BETTER - 121,30.5,30.5,2.5,aleks rosenberg,,$395,Digitals
untitled 13,70,100,2,Rym Magdi,,$500,Digitals
Crosswalk,25.4,30.5,0.3,Kiki Godi,,$225,Digitals
Enhanced checkerboard III,21,29.4,0.1,Christian Fromhein,Germany,$231,Digitals
Chain XIII,21,29.4,0.1,Christian Fromhein,Germany,$634,Digitals
Chain III,21,29.4,0.1,Christian Fromhein,Germany,$634,Digitals
DIGITAL MISFITS,50,50,0.1,Sheena Lennox,United Kingdom,$710,Digitals
Red Man - Firefighter,100,100,3,Urban Tag,France,"$2,600",Digitals
Mega Sails #3,60,60,0.1,Vasco Grilo,,$190,Digitals
Digital Art for Stylish Girl,23.6,23.6,1000,Art Furious,United Kingdom,$260,Digitals
goddess 25,121.9,121.9,3.8,Jason Lincoln Jeffers,United States,"$5,850",Digitals
Red and blue storm,80.3,80.3,0.1,Борис Тетюшин,,$690,Digitals
runes,100,100,1,Norman ritchie,Chile,"$1,360",Digitals
Living in a Shoe,61,61,0.5,Janette Leon Speyer,United States,$980,Digitals
The Skull - Limited Edition Modern Giclee Print,58.4,83.8,0.3,Paul Manwaring,United Kingdom,$279,Digitals
Point of no return 4,50,70,0.1,René van den Berg,Netherlands,$300,Digitals
Swirl Nature - Limited Edition of 9,91.4,91.4,0.3,Saqib Akhtar,Pakistan,$545,Digitals
Vegetable coup. Space Two.,40.1,30,0.5,Yulia Andreeva,Bulgaria,$200,Digitals
Pophausen,98.3,90.4,0.3,Massimo Magee,United Kingdom,"$2,740",Digitals
Nymphette,30,45,0.1,Petra Brnardic,Croatia,"$2,970",Digitals
NOWA.I.PAINT_2022_20,60,100,0.1,Tibor Andriska,Hungary,$580,Digitals
Expressionist 16 — 2016,100,100,0.1,Tevfik Raja,,"$1,410",Digitals
My Colorful Africa #18,101.6,152.4,2.5,Gabriel Pevide,United States,"$1,060",Digitals
instant illusion,70,100,0.1,Giulio Iurissevich,Italy,"$1,750",Digitals
"Jeung Maan Yuk, Maggie Cheung",67,80,0.2,Eunseo Jo,,$700,Digitals
Ulys' lips box,53,53,3,Caroline David,France,$580,Digitals
Party Til Dawn - Diptych,125,125,3,Lynne Godina-Orme,Australia,"$1,500",Digitals
La Mer III,61,39.9,0.3,Klaus Rudolph,Germany,$740,Digitals
"Love and Romance, Rose.",30,40,0.3,Nette M,Germany,$235,Digitals
Carpathians,80,70,3,Julia Sedyuk,,$200,Digitals
Enchanted Realms,75,75,1.5,Irina Raicu,Romania,"$2,110",Digitals
Metallic Canvas with Floating Frame | Pattern No. 18,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
Vincent#1424 - Limited Edition of 1,38.6,38.6,0.3,Ernesto Navarro,Colombia,"$3,500",Digitals
Malaise,61,91.4,2.5,Hopper Vision,United States,$165,Digitals
Metallic Canvas with Floating Frame | Pattern No. 44,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
Metallic Canvas with Floating Frame | Pattern No. 29,101.6,101.6,2.5,Wayne Pegg,United Kingdom,$980,Digitals
JTA0001-016,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
Vincent#931 - Limited Edition of 1,38.6,38.6,0.3,Ernesto Navarro,Colombia,"$3,500",Digitals
Van Gogh Fifteen - Limited Edition of 1,100.1,106.4,0.3,Massimo Magee,United Kingdom,"$1,140",Digitals
Tropical Disturbance - Limited Edition of 25,55.9,55.9,0.3,Herman Mhire,United States,$880,Digitals
Hydra´s Kiss,80,120,0.1,Petra Brnardic,Croatia,"$3,470",Digitals
1012antique art collection,177.8,127,2.5,Antique Art Collection,Denmark,"$12,998",Digitals
Ocean Swell,100,100,3.8,Steven Sandner,Australia,$938,Digitals
Pull Your Research Together 10— 2020,100,100,0.1,Tevfik Raja,,"$1,410",Digitals
Shiba Inu laying on blue couch,24,23.6,0.1,Alvaro Ortega Lopez,,"$1,120",Digitals
Mahsa Amini - Iran Free Women (Version no2),93.6,90,0.1,Mario Ubaldino,Italy,$730,Digitals
Landscape of Anxiety,25.4,25.4,1.8,David Mew,United States,$495,Digitals
Chain II,21,29.4,0.1,Christian Fromhein,Germany,$634,Digitals
Chain I,21,29.4,0.3,Christian Fromhein,Germany,$634,Digitals
Unofficial Queen's Mourning Coin on Silver faded to Black,21.1,29.7,0.3,Vincent Artist,United Kingdom,$160,Digitals
A-3,120,90,1,Robert Childs-Hurn,South Africa,"$1,900",Digitals
Woman in the style of Dali 2022-09-19,53,55,0.1,Aneurin Sanders,United Kingdom,$700,Digitals
Rise To The Top - Diptych,125,125,3,Lynne Godina-Orme,Australia,"$1,500",Digitals
"""Into Consciousness""",25.9,19.4,1,Olivier Branchu,France,"$100,750",Digitals
Damages #03,70,70,0.1,Eric Brocherie,France,"$1,380",Digitals
My Colorful Africa #3,101.6,152.4,2.5,Gabriel Pevide,United States,"$1,060",Digitals
Demon 3: Power,61,91.4,5.1,Nadia Iman,United States,"$1,510",Digitals
JR93-Geometric abstract-4370,60,60,0.1,Norka Ocopio,Spain,"$1,188",Digitals
Sem título (Desaparecimentos),80,100,0.1,Andrey Koens,Brazil,"$1,500",Digitals
income map,100,100,1,Norman ritchie,Chile,"$1,120",Digitals
When the Morning doesn't come,121.4,39.9,0.3,Klaus Rudolph,Germany,"$1,040",Digitals
The Sky - A Digital Artwork,68.5,45.6,8,Masud Rana Parvaz,,"$1,866",Digitals
Photos 12 x 12 3,111.8,111.8,2.5,Howard Spector,United States,"$2,420",Digitals
infinite blue sky,40,60,0.1,Leonardo Lima,,$320,Digitals
7.11.47,100,100,1,Elis RIMEL,,"$1,140",Digitals
Skier ©Kokhan,592,420,1,Sergiusz Kokhan,Ukraine,$440,Digitals
Dark Horse,110,110,0.1,Erkan Cerit,Turkey,"$1,500",Digitals
"Zones Urbaines, Amsterdam - (Inkjet Print)",121.9,121.9,0.3,Serge Tardif,Canada,"$1,430",Digitals
Unrestricted - Limited Edition of 1,35.6,71.1,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The World Is Yours - Limited Edition of 2,50,50,0.1,Sheena Lennox,United Kingdom,$510,Digitals
The Orange Shades - Van Gogh - Limited Edition of 5,61,61,0.3,Ekow Brew,Ghana,$940,Digitals
The Vivid Being - Van Gogh - Limited Edition of 5,61,61,0.3,Ekow Brew,Ghana,$940,Digitals
Vedic Geometry I,76.2,75.7,1.3,Duc Ly,United States,$140,Digitals
1038antique art collection,152.4,91.4,2.5,Antique Art Collection,Denmark,"$11,000",Digitals
1021antique art collection,121.9,152.4,2.5,Antique Art Collection,Denmark,"$16,000",Digitals
119 - SOMETHING IS HAPPENING but I don't know what it is - 119,30.5,30.5,2.5,aleks rosenberg,,$395,Digitals
Benjamin Britten,75,100,0.1,PAUL DICKINSON,,"$3,300",Digitals
Drowse,69.1,39.9,0.3,Klaus Rudolph,Germany,$740,Digitals
Procesing No.7,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Rys III,21,29.4,0.1,Christian Fromhein,Germany,$271,Digitals
Abstract seven,50,60,0.1,Mariano Seib,Argentina,$460,Digitals
Chill Pool Party,91.4,61,0.3,Terry Hastings,United States,$495,Digitals
Golden And White Geometric Abstract Art 1,50,50,0.1,Gad Laniado,Brazil,$250,Digitals
Woman in the style of Dali 2022-09-19 17.59.37,54,60,0.1,Aneurin Sanders,United Kingdom,$700,Digitals
Expressionist 11 — 2016,100,100,0.1,Tevfik Raja,,"$1,410",Digitals
distopya,177.8,127,0.3,Oktay Çakır,,"$2,350",Digitals
Sink in Reflection,39.9,59.9,0.1,Jovana Rikalo,Serbia,"$1,560",Digitals
Game Bird Trophy,55.9,73.7,0.3,Herman Mhire,United States,"$1,080",Digitals
Orchidee 2,60,60,3,Claudio Javier Feldman Pincas,Belgium,"$1,660",Digitals
"Do Three Pieces, a Puzzle Make??",76.2,76.2,1.9,Bill Zielinski,United States,"$1,199",Digitals
fall of a king,100,100,1,Norman ritchie,Chile,"$1,120",Digitals
cityscape,100,100,3,Norman ritchie,Chile,"$1,410",Digitals
Filly N.3,101,135,0.1,Erkan Cerit,Turkey,$700,Digitals
Claremont 12 x 12 20,101.6,101.6,2.5,Howard Spector,United States,"$2,170",Digitals
Claremont 12 x 12 5,111.8,111.8,2.5,Howard Spector,United States,"$2,420",Digitals
Berlin Copenhagen 38,101.6,101.6,2.5,Howard Spector,United States,"$2,170",Digitals
BK Pink CRT,150,150,0.1,Leho De Sosa,France,"$1,211",Digitals
Circle No.81,110,110,2,Milan Terzic,Serbia,"$2,630",Digitals
Salvador Dali,50,70,0.1,Hatice Ozsoydan,Turkey,$200,Digitals
The Woman,45.7,61,2.5,Arnab Roy,India,$949,Digitals
To Be or not to Be,75,100,2,Mr STRANGE Jean-Marie GITARD,France,$510,Digitals
JTA0001-015,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
The Universe 12,42,45,0.1,Pia Bandit,Sweden,$200,Digitals
Infinity (Soulsnatcher),68.8,83.8,0.2,Petra Brnardic,Croatia,"$3,140",Digitals
attributed to Vincent Willem Van Gogh (1853-1890))3milions $,127,177.8,2.5,Antique Art Collection,Denmark,"$31,000",Digitals
NOWA.I.PAINT_2022_B12_03,60,100,0.1,Tibor Andriska,Hungary,$580,Digitals
2.You check from where it came from its source,86.4,86.4,0.1,Mohammad Oweini,Lebanon,"$4,270",Digitals
Face upon IV,21,29.4,0.1,Christian Fromhein,Germany,$580,Digitals
AVIAN ANATOMY #3,23.5,47,0.3,Robert David Atkinson,United States,$135,Digitals
FORCED LIGHT 2,60,60,0.1,Paul Harrison,,$975,Digitals
study of light in dance,103,180,0.3,BONGUK LEE,South Korea,"$4,270",Digitals
Pagoda,15.2,15.2,0,Ziyi Xno,,"$4,950",Digitals
Blockchain Matrix,29.7,42,0.2,Hristo Yordanov,United Kingdom,$260,Digitals
“Racconti Gotici/Gothic Tales” (#2): Specchio oscuro/Dark Mirror,80,80,0.2,Marco Mattiuzzi,Italy,"$1,360",Digitals
Scared Sushi,30,40,0.1,Rendi Ansyah,Indonesia,$500,Digitals
kiss,60,40,0.1,Leonardo Lima,,$320,Digitals
Jellyfish Collection N.1,120,120,0.5,Maksi Thompson,Netherlands,"$37,900",Digitals
Springtime Flowers,76.2,50.8,0.3,Elite Art,Australia,$940,Digitals
Vanitas - Limited Edition Giclee Print,58.4,83.8,0.3,Paul Manwaring,United Kingdom,$279,Digitals
VanGogh Avatar Nº4 - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Sailing Vessel - Limited Edition of 9,91.4,91.4,0.3,Saqib Akhtar,Pakistan,$545,Digitals
"Twin younger ""Anxious""",129,129,0.1,Gustavo Cheneaux,Peru,"$2,270",Digitals
Twisted,40,60,2,Gehani Bentharage,Ireland,$460,Digitals
The farm girl,25,30,1,Victor Chisom,Nigeria,$320,Digitals
Summer Cool Down,91.4,61,0.3,Del Gonzales,,$880,Digitals
Red Field,101.6,66,0.3,Dan Cristian Lavric,Romania,"$2,710",Digitals
Genesis number 262,26.2,39,0,Nikolay Devnenski,Germany,$190,Digitals
Ikigai dreams,38.1,63.5,0.3,Giulia De Martino,Italy,$180,Digitals
Melting Christ Silently Behind the Scenes,61,50.8,5.1,Maygun Gauge,United States,"$2,283",Digitals
Purple floral winds of cascading roses,50.8,55.9,0.3,Zakariya elalj,,$435,Digitals
08 Hibiscus,59.4,42,0.3,Giampiero Lopresti,Italy,$170,Digitals
Abstract Circle Number Seven,91.4,91.4,0.3,Paul Manwaring,United Kingdom,$220,Digitals
"Luxury, Calm and Voluptuousness",100,75,2,Mr STRANGE Jean-Marie GITARD,France,$460,Digitals
Aubergine & Egg Love Art,50,70,0.1,Didem Kutlu,Turkey,$200,Digitals
AFTER ANGER,91.4,61,1.3,Susanne Jensen,United States,$185,Digitals
Entity Moon,28,28,0.1,Misha Page,,$220,Digitals
“Racconti Gotici/Gothic Tales” (#3): Pentacolo/Pentacle,80,80,0.2,Marco Mattiuzzi,Italy,"$1,360",Digitals
Swimmers #4,120,80,1,Lior Patel,Israel,"$3,377",Digitals
Untitled01,29.7,42,2.5,Joanna Macgregor,Nigeria,$220,Digitals
"""Snap Dragons During The First Frost"" by KxMx Lane",3810,3810,0.3,KxMx Lane,,$700,Digitals
Dalia 02,60,90,0.1,Tobias Ginski,,$990,Digitals
KONG 8,18,27,0.2,Freegar Net,Mexico,$250,Digitals
JTA0001-007,61,91.4,0.3,Jonathan Thomas Armstrong,United States,"$5,500",Digitals
841 - Limited Edition of 1,69.8,80,0.3,José Luis Guerrero,Mexico,"$1,360",Digitals
Procesing No.20,100,100,1,Milan Terzic,Serbia,"$2,630",Digitals
Expanding Intuition,61,76.2,2.8,David Mew,United States,"$1,100",Digitals
Mok V,29.4,21,0.1,Christian Fromhein,Germany,$480,Digitals
Desert Beauty,91.4,61,0.3,Del Gonzales,,$545,Digitals
Saga of Kandinsky I # 120007,100,100,0.1,Richard Vachtenberg,Lithuania,"$3,170",Digitals
Another civilization's afterlife #80111,100,100,0.1,Richard Vachtenberg,Lithuania,"$2,870",Digitals
Rıdvan Tree,70,55,0.1,Yusuf Tolga Unker,Turkey,$200,Digitals
Selfie Behind Borderline Inside,60,80,2,Paolo Ferraina,Italy,"$1,260",Digitals
The Universe 38,37,56,0.1,Pia Bandit,Sweden,$200,Digitals
