Name,Width,Height,Depth,Artist,Country,Price,Category
Vincent goes Pop XVI - Limited Edition of 10,42,42,3,Sven Pfrommer,Germany,$790,Digitals
"The Other Avatars NFT, Skull of a Skeleton, Vincent #693",40,40,1,Sheena Lennox,United Kingdom,$480,Digitals
Autonomous Agent - Limited Edition of 1,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
ABSTRACT ART FACE FRAMED #047,90,120,0.1,Diogo Areas Galeria,Brazil,"$1,810",Digitals
Seeking Connection,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Unique Unit,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Nodes Connect,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
The Waves within The Waves #6,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
The Waves within The Waves #11,200,100,4,Carla Sa Fernandes,Portugal,"$1,370",Digitals
Reshapes and Mixes,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Spring Flowers,61,30.5,0.3,Jill Lear,United States,$195,Digitals
I.N.H.G.T. 01,88.9,114.3,0.3,Sephora Venites,Brazil,"$1,910",Digitals
Beauté du XVIIIe siècle 5,114.3,175.3,2.5,Agent X,Canada,"$4,900",Digitals
Cyclic System Automaton,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Hidden Vincent #3,50,50,0.3,Astrid Stoeppel,Germany,$550,Digitals
Total Eclipse Of The House - Limited Edition of 5,54.1,67.6,0.3,Allison Bagg,United States,$445,Digitals
Scent of Broq-pa 04142020,101.6,137.2,0.3,Ziesook You,United States,"$2,068",Digitals
To_Produce,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
design electrical circuits serie 2,100,100,1,Norman ritchie,Chile,"$1,410",Digitals
Write VII - Infogravure 1/30(Signed and Numbered by Hand),75,100,4,Juca Máximo,Brazil,$840,Digitals
Talk with Ink,100.1,100.1,3,Anne Gracia,France,"$2,710",Digitals
SUITE ECHO II,33,45.7,4.1,Anne Gracia,France,"$1,010",Digitals
The Other Avatars Vincent #1817,50,50,1,Karenina Fabrizzi,Spain,$750,Digitals
Nothing to Prove,43,27,0,Yanin Ruibal,Mexico,$150,Digitals
Write VI - Infogravure 1/30(Signed and Numbered by Hand),100,75,4,Juca Máximo,Brazil,$840,Digitals
Vincent #2078 - The Other Avatars - Limited Edition of 1,70,70,3,Paul Brouns,Netherlands,"$3,470",Digitals
Set of Language,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Bird nest,25.4,25.4,0.5,Feyza Soydan Yazici,Turkey,$900,Digitals
Intersections Created,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Shades of Blue 435,59.4,84.1,1,Steve Kalinda,United Kingdom,"$1,140",Digitals
Sophisticated and Fluid,50.8,50.8,0.3,Rachelmauricio Castro,Brazil,$580,Digitals
Shape of Emotion 07,59.4,84.1,2,Steve Kalinda,United Kingdom,"$1,140",Digitals
The Skull with Lavender (Vincent #2061),50,50,4,Carla Sa Fernandes,Portugal,$700,Digitals
